Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ENCFF001ZTX	19.975001746483613	47.0	36.0	0.0	24709912.0
ENCFF001ZTY	19.802384973107735	50.0	36.0	0.0	27125844.0
ENCFF002AMD	19.79897226234104	48.0	36.0	9.090909090909092	24944732.0
ENCFF002AME	17.977851950483824	47.0	36.0	0.0	25424794.0
ENCFF002BWS	16.54180524620122	52.0	36.0	0.0	36141361.0
ENCFF002BWU	17.598312134487458	52.0	36.0	0.0	40189734.0
ENCFF053SSJ	18.206977182207936	50.0	50.0	9.090909090909092	51012950.0
ENCFF082LJL	22.939754494376075	50.0	50.0	9.090909090909092	65371433.0
ENCFF212KTV	21.641363016405705	51.0	50.0	9.090909090909092	49154703.0
ENCFF232IYQ	16.40142721787832	49.0	50.54366531322464	27.27272727272727	49039165.0
ENCFF403SQM	9.904188271311384	54.0	50.556117112784	27.27272727272727	34475758.0
ENCFF470QWO	16.25406011193151	49.0	50.544052169899494	27.27272727272727	53397381.0
ENCFF596BNN	16.182155905998158	48.0	50.0	9.090909090909092	50022292.0
ENCFF898EWU	28.25031276733189	53.0	50.54048617564509	9.090909090909092	84219192.0
