Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ENCFF048MTG	20.165404989919296	46.0	50.346038794552484	9.090909090909092	35924683.0
ENCFF058IAE	29.552803874475444	48.0	50.27223112603989	9.090909090909092	42278369.0
ENCFF083TDB	20.606186326686853	45.0	50.22081764492783	18.181818181818183	52841837.0
ENCFF199UBT	18.505168759094005	45.0	50.16508375873894	18.181818181818183	52179809.0
ENCFF248PXW	27.55467268356226	46.0	50.301153291998524	9.090909090909092	53935170.0
ENCFF401VUV	22.585237120289335	46.0	50.24087255183777	18.181818181818183	49691764.0
ENCFF413XTH	18.772735285331777	46.0	50.211665500229756	18.181818181818183	49568333.0
ENCFF419LDW	19.243114487097387	45.0	50.18643468445656	18.181818181818183	53521173.0
ENCFF633MTW	23.192509163798064	48.0	50.285065114421435	9.090909090909092	48416233.0
ENCFF721LGJ	21.370525727931664	46.0	50.18648214710335	18.181818181818183	51407232.0
ENCFF776GDQ	27.342094292557036	47.0	50.233324062614805	9.090909090909092	43919645.0
ENCFF906VXU	23.603828697449387	46.0	50.306966527742944	9.090909090909092	43503968.0
