Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ENCFF002AJC	10.883894479475714	43.0	36.0	0.0	41962499.0
ENCFF002AJE	10.613824386506522	43.0	36.0	0.0	39405395.0
ENCFF002ESR	13.573103445164236	45.0	36.0	0.0	31691758.0
ENCFF002EST	15.424756304974395	45.0	36.0	0.0	32594269.0
ENCFF069IQM	9.899397870256436	46.0	50.49514528765882	18.181818181818183	86228487.0
ENCFF086BUY	12.14623920471493	43.0	50.0	9.090909090909092	84338246.0
ENCFF106YCA	9.620882923701018	44.0	50.0	9.090909090909092	67831017.0
ENCFF115BHE	9.391578899651705	45.0	50.50378522512067	18.181818181818183	71900215.0
ENCFF123MKU	16.42991659257558	44.0	50.0	0.0	7063039.0
ENCFF128OTX	9.003299334440158	45.0	50.504672269422315	18.181818181818183	56288492.0
ENCFF388QNU	9.353052192544524	44.0	50.0	9.090909090909092	69401084.0
ENCFF482TKQ	10.856372903645934	43.0	50.0	9.090909090909092	72858881.0
ENCFF952SFK	17.014031035166454	44.0	50.0	0.0	13435249.0
ENCFF981WQT	10.378791682125438	46.0	50.49996249103526	18.181818181818183	82726890.0
